2936|𤵷|𤵷||
2942|癇|癇||
2944|朵|朵||
2953|糴|糴||
2957|蛑|蛑||
2958|𩞃|𩞃||
2961|𥂗|𥂗||
2964|𠬚|𠬚||
2966|𥮆|𥮆||
2970|𩒆|𩒆||
2975|𦸃|𦸃||
2976|筍|筍||
2979|𦵲|𦵲||
2980|荇|荇||
2981|䓨|䓨||
2992|頻|頻||
2997|軱|軱||
3001|鶵|鶵||
3002|杍|杍||
3020|𦉩|𦉩||
3025|梩|梩||
3027|𤎙|𤎙||
3028|晳|晳||
3033|檾|檾||
3041|𡚧|𡚧||
3045|𣾩|𣾩||
3049|𣄪|𣄪||
3054|籀|籀||
3059|筆|筆||
3061|𪂸|𪂸||
3062|𣦹|𣦹||
3067|𡰜|𡰜||
3069|雗|雗||
3073|樣|樣||
3077|粰|粰||
3082|𦀚|𦀚||
3088|敤|敤||
3089|隋|隋||
3091|膋|膋||
3092|肑|肑||
3096|𤖕|𤖕||
3098|羌|羌||
3099|𣃦|𣃦||
3100|𦬇|𦬇||
3101|𪍼|𪍼||
3103|𦖥|𦖥||
3116|校|校||
3119|絖|絖||
3125|鎒|鎒||
3127|炗|炗||
3128|𡉘|𡉘||
3140|翰|翰||
3141|𡑼|𡑼||
3148|梁|梁||
3155|𥿁|𥿁||
3163|𩨢|𩨢||
3175|𩫧|𩫧||
3177|沒|沒||
3181|矍|矍||
3185|𤵸|𤵸||
3188|齃|齃||
3197|裖|裖||
3198|𠦒|𠦒||
3203|𣍘|𣍘||
3208|豫|豫||
3213|𦮓|𦮓||
3218|繭|繭||
3225|䙃|䙃||
3229|彝|彝||
3230|𦘉|𦘉||
3244|篲|篲||
3246|綽|綽||
3249|𢿌|𢿌||
3251|乂|乂||
3254|𢐋|𢐋||
3260|卽|卽||
3269|䲷|䲷||
3270|𦓮|𦓮||
3272|輀|輀||
3273|𧨭|𧨭||
3279|瞿|瞿||
3286|𪈖|𪈖||
3290|鶯|鶯||
3291|𨎐|𨎐||
3292|衹|衹||
3298|𡴞|𡴞||
3302|籗|籗||
3304|堲|堲||
3312|䏔|䏔||
3313|𠟻|𠟻||
3314|𦉯|𦉯||
3332|𩫭|𩫭||
3336|豑|豑||
3338|覩|覩||
3341|楳|楳||
3342|苡|苡||
3345|簪|簪||
3346|𥱩|𥱩||
3354|𨒈|𨒈||
3363|顏|顏||
3368|䯺|䯺||
3370|餌|餌||
3372|𧁰|𧁰||
3377|赬|赬||
3381|𦱤|𦱤||
3383|𤶻|𤶻||
3386|𤭰|𤭰||
3387|𩪲|𩪲||
3392|𧮭|𧮭||
3396|䊠|䊠||
3406|𦝮|𦝮||
3412|糝|糝||
3413|𧋛|𧋛||
3427|徵|徵||
3434|𦆰|𦆰||
3435|賴|賴||
3444|𤬡|𤬡||
3450|䌄|䌄||
3452|𢤌|𢤌||
3453|𧅝|𧅝||
3457|甚|甚||
3460|𧶜|𧶜||
3461|亂|亂||
3464|𦺭|𦺭||
3468|封|封||
3471|雙|雙||
3472|𩍸|𩍸||
3474|鈃|鈃||
3475|滎|滎||
3480|芇|芇||
3482|熅|熅||
3485|𥶶|𥶶||
3490|麰|麰||
3494|䭆|䭆||
3503|箁|箁||
3504|袖|袖||
3507|𥲼|𥲼||
3510|戺|戺||
3515|報|報||
3518|䒳|䒳||
3520|蓽|蓽||
3521|𨋊|𨋊||
3524|罃|罃||
3525|䙻|䙻||
3531|𪎀|𪎀||
3532|𥱼|𥱼||
3536|䵑|䵑||
3537|𦵹|𦵹||
3539|飭|飭||
3541|嶭|嶭||
3548|𥷚|𥷚||
3549|榘|榘||
3553|𤐧|𤐧||
3556|韓|韓||
3558|雚|雚||
3560|𩀑|𩀑||
3564|𥴹|𥴹||
3566|𥳑|𥳑||
3567|孶|孶||
3577|𢸰|𢸰||
3580|𣍃|𣍃||
3582|𥸖|𥸖||
3585|𪇮|𪇮||
3588|存|存||
3594|朮|朮||
3596|𧂌|𧂌||
3597|𦭷|𦭷||
3599|梘|梘||
3607|𢟪|𢟪||
3610|疹|疹||
3611|𢱀|𢱀||
3614|𥹺|𥹺||
3617|灰|灰||
3619|友|友||
3622|𦯚|𦯚||
3634|𦴕|𦴕||
3635|𦀓|𦀓||
3636|䉠|䉠||
3645|𨛦|𨛦||
3650|𠜵|𠜵||
3651|𩛥|𩛥||
3654|簸|簸||
3655|𥳭|𥳭||
3657|畿|畿||
3664|𨬝|𨬝||
3666|鍓|鍓||
3668|䒣|䒣||
3670|鬌|鬌||
3679|𤖙|𤖙||
3680|縈|縈||
3685|將|將||
3695|𢘅|𢘅||
3699|執|執||
3701|鋧|鋧||
3703|緊|緊||
3706|𧊝|𧊝||
3718|靜|靜||
3727|𪁌|𪁌||
3730|兢|兢||
3736|𠝾|𠝾||
3737|萱|萱||
3751|颦|颦||
3752|盩|盩||
3753|𧘚|𧘚||
3756|𨚊|𨚊||
3757|雁|雁||
3765|簋|簋||
3776|盜|盜||
3786|卸|卸||
3788|𨛖|𨛖||
3793|𢧾|𢧾||
3794|鎜|鎜||
3795|𡿷|𡿷||
3797|歠|歠||
3799|箣|箣||
3804|𦉓|𦉓||
3808|𣦼|𣦼||
3812|𤬐|𤬐||
3828|䳺|䳺||
3829|𧅽|𧅽||
3830|𨓈|𨓈||
3834|𥸂|𥸂||
3840|𦾓|𦾓||
3844|嫈|嫈||
3845|𧗘|𧗘||
3846|𦻄|𦻄||
3854|𧹙|𧹙||
3855|敫|敫||
3857|𨙢|𨙢||
3859|褮|褮||
3861|顨|顨||
3862|𠞋|𠞋||
3864|𤟌|𤟌||
3869|孰|孰||
3873|薦|薦||
3874|𨏖|𨏖||
3875|𤘴|𤘴||
3883|箓|箓||
3888|纠|纠||
3896|𤼷|𤼷||
3901|𦸕|𦸕||
3908|朹|朹||
3912|𠭥|𠭥||
3915|褺|褺||
3916|𨍶|𨍶||
3918|𨟬|𨟬||
3919|𨤈|𨤈||
3922|剸|剸||
3923|𦇹|𦇹||
3925|剺|剺||
3927|壑|壑||
3931|榮|榮||
3938|敖|敖||
3940|壡|壡||
3943|𨿘|𨿘||
3946|𩰤|𩰤||
3947|䉠|䉠||
3956|𤵬|𤵬||
3959|𦷙|𦷙||
3960|負|負||
3968|𠣀|𠣀||
3970|莑|莑||
3974|斃|斃||
3976|瞢|瞢||
3981|𩴴|𩴴||
3983|望|望||
3985|䣊|䣊||
3986|𢐻|𢐻||
3991|𡬾|𡬾||
3993|𧹲|𧹲||
3996|𢥰|𢥰||
3999|𢥦|𢥦||
4004|蒦|蒦||
4006|芌|芌||
4011|魅|魅||
4017|槑|槑||
4023|笶|笶||
4031|𢱬|𢱬||
4032|箐|箐||
4035|氈|氈||
4040|嘗|嘗||
4041|𨔝|𨔝||
4044|穎|穎||
4045|髳|髳||
4050|粍|粍||
4051|鴑|鴑||
4055|叔|叔||
4058|𪌇|𪌇||
4064|𤸫|𤸫||
4068|𥱵|𥱵||
4070|𦵢|𦵢||
4073|𦬛|𦬛||
